STEP,SITE,ANGLE,DIR,SERIES,f0_BUMmax,df_BUMmax,BUMmax
1,0,28,0,0,5751,32.1,-96.01
2,0,28,0,1,5761,34.9,-94.56
3,0,28,1,0,5747,27,-96.38
4,0,28,1,1,5757,29.04,-94.95
5,0,21,0,0,5752,32.1,-96.17
6,0,21,0,1,5761,33.44,-95.67
7,0,21,1,0,5749,28.4,-96.31
8,0,21,1,1,5759,31.9,-96.22
9,0,14,0,0,5760,32.5,-97.13
10,0,14,0,1,5763,32.9,-96.83
11,0,14,1,0,5757,30.1,-97.33
12,0,14,1,1,5767,33.9,-96.56
13,0,7,0,0,5770,34.06,-96.58
14,0,7,0,1,5767,32,-95.35
15,0,7,1,0,5774,36,-97.28
16,0,7,1,1,5776,34.8,-95.98
17,0,0,0,0,5770,31.7,-96.03
18,0,0,0,1,5765,29.6,-94.77
19,0,0,1,0,5777,34.6,-98.52
20,0,0,1,1,5778,36.2,-96.45
21,0,-7,0,0,5791,36.7,-99.43
22,0,-7,0,1,5778,35.4,-99.95
23,0,-7,1,0,5798,42.8,-103
24,0,-7,1,1,5784,39.7,-101.9
25,0,-14,0,0,5783,36.5,-109.3
26,0,-14,0,1,5782,34.3,-101.33
27,0,-14,1,0,5792,46,-110.3
28,0,-14,1,1,5784,37.9,-105.52
29,0,-21,0,0,5785,39.5,-106.5
30,0,-21,0,1,5788,38,-102.7
31,0,-21,1,0,5783,38.5,-106.7
32,0,-21,1,1,5789,43.5,-103.71
33,0,-28,0,0,5779,39.1,-110.1
34,0,-28,0,1,5784,38.2,-110.27
35,0,-28,1,0,5787,44.3,-110.2
36,0,-28,1,1,5793,48.1,-108.1
37,1,28,0,0,5753,32.4,-97.2
38,1,28,0,1,5760,33.9,-95.4
39,1,28,1,0,5750,28.4,-96.84
40,1,28,1,1,5763,35.7,-95.82
41,1,21,0,0,5756,36.5,-96.85
42,1,21,0,1,5760,34,-96.83
43,1,21,1,0,5755,28,-97.63
44,1,21,1,1,5767,41.4,-97.08
45,1,14,0,0,5767,36.9,-98.94
46,1,14,0,1,5767,36.4,-99
47,1,14,1,0,5768,36,-98.49
48,1,14,1,1,5769,40.6,-98.05
49,1,7,0,0,5775,34.4,-97.23
50,1,7,0,1,5775,36.8,-97.36
51,1,7,1,0,5784,39.4,-97.32
52,1,7,1,1,5782,42.5,-96.21
53,1,0,0,0,5776,35.4,-97.63
54,1,0,0,1,5776,37.6,-96.72
55,1,0,1,0,5786,42,-99.13
56,1,0,1,1,5781,40.4,-96.65
57,1,-7,0,0,5788,35.1,-102.3
58,1,-7,0,1,5779,37.8,-101.65
59,1,-7,1,0,5799,44.1,-104.6
60,1,-7,1,1,5784,44.9,-102.61
61,1,-14,0,0,5775,37.8,-110
62,1,-14,0,1,5785,36.8,-102.7
63,1,-14,1,0,5785,46.4,-111.5
64,1,-14,1,1,5786,43.1,-106.07
65,1,-21,0,0,5785,39.9,-110.26
66,1,-21,0,1,5789,37.5,-104.55
67,1,-21,1,0,5790,42.8,-109
68,1,-21,1,1,5793,44.6,-106.31
69,1,-28,0,0,5790,42.1,-113.6
70,1,-28,0,1,5783,41.5,-115.66
71,1,-28,1,0,5795,47.1,-111.8
72,1,-28,1,1,5795,48.1,-112.78
73,2,28,0,0,5753,30.9,-94.67
74,2,28,0,1,5763,33.5,-93.76
75,2,28,1,0,5756,33.9,-94.9
76,2,28,1,1,5769,36.49,-95.01
77,2,21,0,0,5759,34.9,-95.48
78,2,21,0,1,5761,31.4,-95.35
79,2,21,1,0,5762,33.2,-95.9
80,2,21,1,1,5766,37.9,-95.58
81,2,14,0,0,5776,35.2,-97.45
82,2,14,0,1,5770,37.3,-97.73
83,2,14,1,0,5764,32.4,-98.29
84,2,14,1,1,5768,35.7,-97.42
85,2,7,0,0,5775,32.7,-97.98
86,2,7,0,1,5773,35.6,-98.36
87,2,7,1,0,5783,39.8,-98.59
88,2,7,1,1,5781,41.7,-98.03
89,2,0,0,0,5772,35.5,-98.08
90,2,0,0,1,5771,34.3,-96.83
91,2,0,1,0,5781,38.2,-100.1
92,2,0,1,1,5781,39.5,-96.48
93,2,-7,0,0,5793,35.1,-99.4
94,2,-7,0,1,5780,35.7,-102.12
95,2,-7,1,0,5802,45.9,-102.8
96,2,-7,1,1,5795,47.1,-104.42
97,2,-14,0,0,5769,38.03,-110.5
98,2,-14,0,1,5795,39.5,-102.23
99,2,-14,1,0,5781,38.8,-112.5
100,2,-14,1,1,5804,47.1,-106.46
101,2,-21,0,0,5790,43.6,-112.4
102,2,-21,0,1,5802,37,-109.79
103,2,-21,1,0,5788,42.1,-108.8
104,2,-21,1,1,5812,46.2,-111.49
105,2,-28,0,0,5779,37,-114.2
106,2,-28,0,1,5780,40,-115.63
107,2,-28,1,0,5778,39.2,-113.5
108,2,-28,1,1,5772,50,-115.65
