STEP,SITE,ANGLE,DIR,SERIES,f0_Dmmin,Df_DM,Dmmin,Dmmax
1,0,28,0,0,5731,-8.7,-110.96,-87.55
2,0,28,0,1,5740,-8.8,-108.36,-83.91
3,0,28,1,0,5731,-8.7,-111.59,-88.02
4,0,28,1,1,5739,-8.9,-109.12,-83.99
5,0,21,0,0,5733,-8.9,-106.09,-85.35
6,0,21,0,1,5746,-8.8,-104.48,-83.72
7,0,21,1,0,5741,-8.7,-105.82,-85.55
8,0,21,1,1,5748,-8.7,-103.46,-83.17
9,0,14,0,0,5744,-8.8,-104.39,-85.07
10,0,14,0,1,5755,-8.8,-101.89,-83.49
11,0,14,1,0,5749,-8.8,-105.42,-85.52
12,0,14,1,1,5764,-8.4,-100.53,-83.09
13,0,7,0,0,5742,-8.8,-110.84,-86.68
14,0,7,0,1,5751,-8.9,-104.86,-83.85
15,0,7,1,0,5746,-8.9,-111.83,-86.26
16,0,7,1,1,5754,-8.9,-105.98,-84.02
17,0,0,0,0,5741,-9,-115.64,-85.86
18,0,0,0,1,5740,-8.9,-114.46,-85.74
19,0,0,1,0,5744,-8.8,-117.15,-87.18
20,0,0,1,1,5741,-8.9,-116.08,-86.61
21,0,-7,0,0,5749,-9,-112.19,-87.89
22,0,-7,0,1,5740,-9,-115.03,-89.31
23,0,-7,1,0,5750,-8.9,-113.53,-91.34
24,0,-7,1,1,5742,-8.9,-117.41,-89.67
25,0,-14,0,0,5739,-9,-118,-96.78
26,0,-14,0,1,5747,-8.9,-113.99,-89.88
27,0,-14,1,0,5741,-9,-117.82,-97.46
28,0,-14,1,1,5747,-8.8,-116.29,-94.26
29,0,-21,0,0,5742,-8.9,-117.79,-95.9
30,0,-21,0,1,5743,-9,-113.65,-92.2
31,0,-21,1,0,5740,-8.9,-117.3,-97.36
32,0,-21,1,1,5744,-8.9,-114.96,-94.29
33,0,-28,0,0,5736,-9,-117.49,-99.33
34,0,-28,0,1,5731,-9,-116.8,-99.22
35,0,-28,1,0,5736,-8.9,-118.49,-100.79
36,0,-28,1,1,5730,-8.8,-115.66,-99.7
